choice_index,choice_current,amount,symbol,score_current,price,usd,per,round,date,amount_last,usd_last,choice_last,block_number,token_name,token_price,token_addr,score_last,proposal,tx_hash,per_last,chng,forecast,choice
227,xdai-WXDAI+USDC+USDT (0x7f90…),14,GNO,53684.50232823477,100.47,1446.768,0.0269,,,nan,,,,,,,,,,nan,nan,1446.768,xdai-WXDAI+USDC+USDT (0x7f90…)
21,TUSD+3Crv (0xEcd5…),"6,720",TUSD,254436.19131858478,0.998432,6709.46304,0.0264,50.0,2023-08-08,"8,640",8640.961100302462,TUSD+3Crv (0xEcd5…),17831852.0,TrueUSD,1.0001112384609332,0x0000000000085d4780B73119b644AE5ecd22b376,270899.0804789351,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x2abc78fdf2d51dabfb42830c3c490d7b312447957a5677bf391025f3bef6fe98,0.0319,-22.4,6709.46304,TUSD+3Crv (0xEcd5…)
159,TUSD+crvUSD (0x34D6…),"2,208",TUSD,81365.90953743075,0.998432,2204.537856,0.0271,50.0,2023-08-08,"2,208",2208.24561452174,TUSD+crvUSD (0x34D6…),17831860.0,TrueUSD,1.0001112384609332,0x0000000000085d4780B73119b644AE5ecd22b376,162336.14403466802,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0xe8eff2b3452a7fabc66a3fd4773b5d2e2e393fdd80a0f9566070405948e4c45e,0.0136,-0.2,2204.537856,TUSD+crvUSD (0x34D6…)
74,USDD+3Crv (0xe6b5…),"5,760",USDD,217459.55363049667,0.997463,5745.38688,0.0264,50.0,2023-08-08,"6,240",6229.426526595039,USDD+3Crv (0xe6b5…),17831868.0,Decentralized USD,0.9983055331081792,0x0C10bF8FcB7Bf5412187A595ab97a3609160b5c6,190135.67494605295,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x4203c0250a06a8f2d9f09a788167f2bb63f9b95dec44a078a8a2774d1368de6a,0.0328,-7.8,5745.38688,USDD+3Crv (0xe6b5…)
43,WETH+CVX (0xB576…),"10,090",CVX,1133857.9909899188,2.81,28351.776,0.0250,50.0,2023-08-08,"10,090",32809.422762072754,WETH+CVX (0xB576…),17840026.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1045829.8334542311,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x3cdf1e094cc94c2c1f4b9a141e98c6def2298985b92e23bb3dc9a350289f734c,0.0314,-13.6,28351.776,WETH+CVX (0xB576…)
90,CVX+FRAXBP (0xBEc5…),"2,523",CVX,287955.84033742215,2.81,7089.2928,0.0246,50.0,2023-08-08,"2,523",8203.91655744312,CVX+FRAXBP (0xBEc5…),17840028.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,271450.8429658744,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x27aa938ba456ec3a58e74f74caf3d0a75214663ac3008ed5f394477dfe576975,0.0302,-13.6,7089.2928,CVX+FRAXBP (0xBEc5…)
148,frxETH+CVX (0x47D5…),"12,612",CVX,1531226.0033869043,2.81,35441.0688,0.0231,50.0,2023-08-08,"12,612",41013.33931951588,frxETH+CVX (0x47D5…),17840031.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1393178.3217598551,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x265a90b5152c236f7fd015b60e7816dd99b1a1a41b887e2f6bbc85b1f3790860,0.0294,-13.6,35441.0688,frxETH+CVX (0x47D5…)
133,CRV+cvxCRV (0x971a…),"83,938",CVX,10008428.297596367,2.81,235864.656,0.0236,50.0,2023-08-08,"85,291",277350.4438911849,CRV+cvxCRV (0x971a…),17840033.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,9616087.700480968,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x3d27638ff2092a11b4e24e0b4a7d17831d0b4644cd1f2d97ee853943f96ec7a1,0.0288,-15.0,235864.656,CRV+cvxCRV (0x971a…)
91,cvxCRV+FRAXBP (0x31c3…),"2,596",CVX,299135.699896746,2.81,7294.3104,0.0244,50.0,2023-08-08,"2,638",8578.524619426824,cvxCRV+FRAXBP (0x31c3…),17840038.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,286580.9181494031,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x922b6dc64763677744d9777319316a087ee02a125a72bbaffd71a50bf26153b0,0.0299,-15.0,7294.3104,cvxCRV+FRAXBP (0x31c3…)
182,FXS+cvxFXS (0x6a90…),"19,371",CVX,2156043.0960919997,2.81,54432.1728,0.0252,50.0,2023-08-08,"18,055",58710.44851439603,FXS+cvxFXS (0x6a90…),17840045.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1866831.337909683,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x57409558be91ef1191ce08bc87e06328438da60f76b35de98a0ca331bea596f8,0.0314,-7.3,54432.1728,FXS+cvxFXS (0x6a90…)
