round,date,token_symbol,amount,usd_amount,choice,block_number,choice_index,token_name,token_price,token_addr,score,proposal,tx_hash
1,2021-09-21,SPELL,9.6e+17,0.002268253187214337,cvxcrv,13233557,41,Spell Token,0.002362763736681601,0x090185f2135308BaD17527004364eBcC2D37e5F6,456978.26417711435,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x78b0b59ee8b75e2453c0cbfc1b2e97b464e09c1dbfc4b83bbd965529cb671c3e
1,2021-09-21,ALCX,1.92e+20,47636.75618071618,alusd,13247848,36,Alchemix,248.10810510789676,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,605475.7750174905,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x0de61c574402c6516635a4259a8619106d4038fea5422b7a0c9aaf4289eece2d
1,2021-09-21,WETH,5.76e+16,169.19639646189458,cvxcrv,13248179,41,Wrapped Ether,2937.437438574558,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,456978.26417711435,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x302a507ff77925049f0932274a9ab057f3525aff5ccdf2c27e868495d0cb34b4
1,2021-09-21,DAI,4.8e+21,4757.6795204927985,eurs,13248714,22,Dai Stablecoin,0.9911832334359997,0x6B175474E89094C44Da98b954EedeAC495271d0F,379609.73156959604,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x5b748b02a9f77417df7e7ddc29ec04f9166b0ed850d9e4d778c3681de45993da
1,2021-09-21,FXS,3.728064e+22,175222.86911795507,frax,13252388,32,Frax Share,4.700103568982589,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,2341875.720673266,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0xd2ed8e74e84a13ee6dce0a73811211fb95213babd504d5ca94df65b3cd515257
1,2021-09-21,WETH,9.6e+18,28199.39941031576,ankreth,13258116,27,Wrapped Ether,2937.437438574558,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,289194.3039392527,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x2dd6ed418d3b06c1a728570340400d70735fb322073fa75e2c78da5677f1eb9d
1,2021-09-21,DAI,9.6e+21,9515.359040985597,eurs,13261700,22,Dai Stablecoin,0.9911832334359997,0x6B175474E89094C44Da98b954EedeAC495271d0F,379609.73156959604,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0xe7599a40a286a4cc81e54755d17e4733e188e424ce07f215b0cb4de5594783e5
1,2021-09-21,DAI,9.6e+21,9515.359040985597,eurs,13262700,22,Dai Stablecoin,0.9911832334359997,0x6B175474E89094C44Da98b954EedeAC495271d0F,379609.73156959604,0xc841db892a58168d21262eb8e2f97d651fb354896fa90ac3d6bcfad00319c535,0x11d8023e4a99a850f2fbd3727b104d075c9af99458798fa7ae29d6b92882b8c9
2,2021-10-05,3Crv,1.92e+19,19.566677253015456,eurs,13332050,22,Curve.fi DAI/USDC/USDT,1.019097773594555,0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,745256.6652058059,0xe11de27c199ddee0966ed8b24e1ee34bd3363f0fe09fe85510a4fe27914a1027,0x58210152899356ae25ed3a0a5a26782e0e8bb8a0cd6e712c1f354e11e53ddd2c
2,2021-10-05,FXS,3.150912e+22,148903.20416717773,frax,13335273,32,Frax Share,4.72571763880355,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,1802645.0185036247,0xe11de27c199ddee0966ed8b24e1ee34bd3363f0fe09fe85510a4fe27914a1027,0x07dac7b372bb511c798b3ac2c7fcba259c2de6f2942a5dce2a1da2f1aeb8e641
