round,ankreth,alUSD+3Crv,FRAX+3Crv,eurs,CRV+cvxCRV,compound,ETH+alETH,reth,mUSD+3Crv,sbtc,mim-ust,tbtc,ren,usdm,usdn,usdp,f-d3pool,USDC+EURS,f-ustw,OUSD+3Crv,d3pool,3eur,ust-wormhole,crv-eth,rai,eurtusd,lusd,WETH+CVX,steth,WETH+T,f-fei,FXS+cvxFXS,f-pwrd,f-cadcusdc,avalanche-f-3pool,f-lfteth,fantom-f-4POOL,optimism-f-4pool,DOLA+3Crv,optimism-f-sUSD3CRV,arbitrum-f-4pool,fantom-f-g3CRV-gauge,f-stgusdc,FRAX+FPI,PUSd+3Crv,xdai-WXDAI+USDC+USDT,FRAX+USDC,mim,TUSD+3Crv,BUSD+FRAXBP,sUSD+FRAXBP,alUSD+FRAXBP,LUSD+FRAXBP,USDD+3Crv,ApeUSD+FRAXBP,TUSD+FRAXBP,USDD+FRAXBP,GUSD+FRAXBP,DOLA+FRAXBP,cvxCRV+FRAXBP,cvxFXS+FRAXBP,CVX+FRAXBP,xFraxTempleLP+UNI-V2,agEUR+FRAXBP,MAI+FRAXBP,PUSd+FRAXBP,ALCX+FRAXBP,BADGER+FRAXBP,RSR+FRAXBP,ETH+frxETH,XAI+FRAXBP,SDT+FRAXBP,ETH+sETH,DAI+USDC+USDT+sUSD,CVX+clevCVX,clevUSD+FRAXBP,OHM+FRAXBP,ETH+pETH,multiBTC+sbtc2Crv,STG+USDC,msUSD+FRAXBP,ETH+CLEV,MIM+3Crv,ETH+CNC,STG+FRAXBP,eUSD+FRAXBP
1,28260.0,47600.0,175220.0,23970.0,169.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,92190.0,148700.0,19160.0,,11000.0,81590.0,28640.0,8840.0,17580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,137490.0,477930.0,48040.0,139980.0,48040.0,137490.0,,249970.0,,517240.0,31420.0,45210.0,14400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,364360.0,1100000.0,192100.0,558970.0,96050.0,409900.0,125890.0,130770.00000000001,,1460000.0,29190.0,47630.0,66640.0,188340.0,57630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,622730.0,2230000.0,96300.0,558180.0,,667210.0,,193070.0,,969020.0,,,,,57780.0,144840.0,96300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,522350.0,2480000.0,75700.0,650640.0,,551780.0,,103130.0,,1150000.0,,,,,,,,258440.0,248860.0,158920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,296200.0,2600000.0,75530.0,518409.99999999994,,286640.0,,,,1680000.0,,,,,,,,,570110.0,133730.0,366310.0,789730.0,160050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,7430000.0,,1410000.0,,386580.0,,,,4150000.0000000005,,,,,,,,,869250.0,213440.0,151660.0,1010000.0,1020000.0,535210.0,509860.0,509860.0,1430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,519850.0,6590000.0,,1660000.0,,441880.0,,65260.00000000001,,1140000.0,,,,,62470.0,,,,714310.0,171580.0,401080.0,2330000.0,,268250.0,,,1020000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,294810.0,5710000.0,,1250000.0,,250590.0,,,,499310.0,,,,,,,,,513320.00000000006,401860.0,281040.0,3950000.0,,122950.0,,,781600.0,379180.0,276200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
