round,start,end,total_bribes,btc,eth,crv,cvx
1,2021-09-16 00:00:00,2021-09-21 00:00:00,275220.0,42932.94659595412,2977.3226793404747,2.415299261539368,8.145462134704525
2,2021-09-30 00:00:00,2021-10-05 00:00:00,407710.0,49260.232321130694,3390.310407759615,2.8731394385145195,9.786637085649984
3,2021-10-14 00:00:00,2021-10-19 00:00:00,1850000.0,62017.972725178704,3752.61872738495,2.7942877672196116,14.623480698717646
4,2021-10-28 00:00:00,2021-11-02 00:00:00,4830000.0,61121.83120106507,4330.553151595248,4.483182232752803,30.022709332703027
5,2021-11-11 00:00:00,2021-11-16 00:00:00,5630000.0,63933.835442599324,4583.211418759011,3.953965152732889,29.84624426688338
6,2021-11-25 00:00:00,2021-11-30 00:00:00,6200000.0,57848.77353712989,4444.528279821561,4.693383126734287,27.051078916702664
7,2021-12-09 00:00:00,2021-12-14 00:00:00,7470000.0,46696.30469946678,3782.8952622347147,3.3372481501743874,26.995017346537967
8,2021-12-23 00:00:00,2021-12-28 00:00:00,19630000.0,50774.067814743,4045.051350119327,5.311078093759706,49.13551375334708
9,2022-01-06 00:00:00,2022-01-11 00:00:00,15390000.0,41869.85905559219,3086.7290024387257,4.30361557516678,35.85705808652769
10,2022-01-20 00:00:00,2022-01-25 00:00:00,14710000.0,36774.00714224005,2447.831512095295,2.832689555879139,27.846179936701667
11,2022-02-03 00:00:00,2022-02-08 00:00:00,16079999.999999998,43910.929986443094,3149.953285509783,3.5841741327888568,27.712152570150803
12,2022-02-17 00:00:00,2022-02-22 00:00:00,13620000.0,37059.979402287514,2574.513383778016,2.3418926839904466,21.883046279776813
13,2022-03-03 00:00:00,2022-03-08 00:00:00,13270000.0,38076.49382252028,2498.658864965217,1.9907895651204326,15.595867242279361
14,2022-03-17 00:00:00,2022-03-22 00:00:00,16190000.000000002,41061.81589384987,2896.5869324317464,2.200309893253778,20.260860466046537
15,2022-03-31 00:00:00,2022-04-05 00:00:00,21370000.0,46622.63571309101,3520.9671175043636,2.90825205703418,37.04519869380175
16,2022-04-14 00:00:00,2022-04-19 00:00:00,17500000.0,40833.5379650337,3061.8905711469047,2.1875712365868174,28.145826636453148
17,2022-04-28 00:00:00,2022-05-03 00:00:00,15630000.0,38561.56539902362,2861.3723755560436,2.1074124794351317,22.452037344753762
18,2022-05-12 00:00:00,2022-05-17 00:00:00,5720000.0,29923.606993639707,2025.8886983912162,1.3638471885185008,11.030985232548144
19,2022-05-26 00:00:00,2022-05-31 00:00:00,5690000.0,31740.94072516695,1995.9364841552344,1.383702512113498,10.681396159954522
20,2022-06-09 00:00:00,2022-06-14 00:00:00,3140000.0,22525.768350391198,1205.5952855404787,0.7085832218361022,4.050555763174901
21,2022-06-23 00:00:00,2022-06-28 00:00:00,2630000.0,20751.477530790766,1194.2245084746116,0.7348718368468132,4.2752749425281165
22,2022-07-07 00:00:00,2022-07-12 00:00:00,3260000.0,19998.467839575842,1097.4494380477286,0.8903812441032031,5.365897492126379
23,2022-07-21 00:00:00,2022-07-26 00:00:00,3080000.0,21330.295450788173,1450.4822852139405,1.185966529536284,6.535132048882883
24,2022-08-04 00:00:00,2022-08-09 00:00:00,4110000.0000000005,23823.679442453606,1775.7013555270828,1.4253606891958894,7.432749074624735
25,2022-08-18 00:00:00,2022-08-23 00:00:00,2930000.0,21387.747114773963,1622.30703457785,1.10152272218971,5.282428997810222
26,2022-09-01 00:00:00,2022-09-06 00:00:00,2920000.0,19785.73350185514,1617.9354554854337,1.146690696440332,5.385978559614907
27,2022-09-15 00:00:00,2022-09-20 00:00:00,2970000.0,19570.386709523507,1379.920704526258,0.9839690442015888,4.894412347681524
28,2022-09-29 00:00:00,2022-10-04 00:00:00,2850000.0,19620.567543591394,1323.5040179722914,0.8987557324836007,4.924035573211551
29,2022-10-13 00:00:00,2022-10-18 00:00:00,2450000.0,19557.895548868444,1333.4408776301655,0.8904864702943357,5.631841986179546
30,2022-10-27 00:00:00,2022-11-01 00:00:00,2520000.0,20494.60120983709,1572.979514885975,0.8848881418975849,5.331319842240825
31,2022-11-10 00:00:00,2022-11-15 00:00:00,1790000.0,16645.828500283515,1241.997092728311,0.6087873980249885,4.088380563216294
32,2022-11-24 00:00:00,2022-11-29 00:00:00,1710000.0,16222.210728731225,1170.115741471507,0.64560445978591,3.95188898124839
33,2022-12-08 00:00:00,2022-12-13 00:00:00,1740000.0,17179.596038203494,1275.332421155143,0.6187124692776448,3.896575744199141
34,2022-12-22 00:00:00,2022-12-27 00:00:00,1520000.0,16900.081871938084,1226.2534148310056,0.5376156810505027,3.6017998699275124
35,2023-01-05 00:00:00,2023-01-10 00:00:00,1740000.0,17194.90932945318,1321.676571173056,0.643738574719494,3.400580785895415
36,2023-01-19 00:00:00,2023-01-24 00:00:00,2490000.0,22984.87497643721,1632.9617267135266,1.0683824463521523,5.328231914889847
37,2023-02-02 00:00:00,2023-02-07 00:00:00,3120000.0,22786.483006387727,1617.144163289206,1.0462663805931594,6.316118827971546
38,2023-02-16 00:00:00,2023-02-21 00:00:00,2960000.0,24786.665940845705,1700.1986814992663,1.26335239201028,6.614459299303836
39,2023-03-02 00:00:00,2023-03-07 00:00:00,2430000.0,22415.113659694827,1567.3501465252189,0.9499945611419847,5.9877319581820805
40,2023-03-16 00:00:00,2023-03-21 00:00:00,2110000.0,,,,
