gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,2.24,10917.415384615386,276282.7029189408,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0395,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,"4,874",2.24,10917.415384615386,529796.7898669858,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0206,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,0.0,10917.415384615386,
mkUSD+USDC (0xF980…),"19,200",PRISMA,0.887347,17037.0624,271314.7246519883,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0628,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,"19,200",0.887347,17037.0624,542084.7374019539,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0314,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,0.0,17037.0624,
ETH+OETH (0x94B1…),"4,800,000",OGV,0.00852553,40922.544,987317.9035157148,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0414,0xceea47a991203fdb341e1235e912ca4b9e1f349f3eef9211f397656c64fd5d97,0x20c617774fbd2520d1d5d99614c95bbdb97a3ede2914045dc2786f727b6797b2,19170496.0,"4,800,000",0.00852553,40922.544,1856238.1210374013,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0220,0xceea47a991203fdb341e1235e912ca4b9e1f349f3eef9211f397656c64fd5d97,0x20c617774fbd2520d1d5d99614c95bbdb97a3ede2914045dc2786f727b6797b2,19170496.0,0.0,40922.544,
arbi-crvUSD+WETH+GMAC (0x96AA…),266,crvUSD,0.994791,264.53482272,13921.46643109359,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,Curve.Fi USD Stablecoin,0.0190,0x37a73ec049ba67cf1435ba15c2c376aff1e8927c9945f682c5a1d939a38e51bf,0x4c368198c149819e5ff56198fdb43807e54f5c0677d345ddebec137df2cf0593,19326255.0,nan,,,,,,nan,,,,nan,264.53482272,
pxETH+stETH (0x6951…),86,BTRFLY,325.31,28106.784000000003,656365.912434803,0xc55126051B22eBb829D00368f4B12Bde432de5Da,BTRFLY,0.0428,0xbabf2f85f0b7e30ad8fb6d253e1d1cd175af097f39d88d68215c00409f486002,0x334f6f0e8d2765398c2b89ac89a0f84d3c7b8a9182e72247285a7d24afc7dcb4,19335970.0,nan,,,,,,nan,,,,nan,28106.784000000003,
pxETH+mkUSD (0x71Db…),29,BTRFLY,325.31,9368.928,217789.42698583327,0xc55126051B22eBb829D00368f4B12Bde432de5Da,BTRFLY,0.0430,0xbabf2f85f0b7e30ad8fb6d253e1d1cd175af097f39d88d68215c00409f486002,0x334f6f0e8d2765398c2b89ac89a0f84d3c7b8a9182e72247285a7d24afc7dcb4,19335970.0,nan,,,,,,nan,,,,nan,9368.928,
WETH+CVX (0xB576…),"20,282",CVX,5.07,102829.3344,2631303.9650507374,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0391,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,"19,705",3.6,70937.856,3095768.152354078,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0229,0xa0e5b9d9e44f742e6514de28a14e84ba6cc33e098046d1664f16d5ee0c165657,0x0e2845b732347e43514d7000585c657265029b50f40154e2c8cf07d18b107e93,19244347.0,45.0,102829.3344,
CVX+FRAXBP (0xBEc5…),644,CVX,5.07,3265.8912,41647.30864698941,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0784,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,683,3.6,2457.216,55074.94285864294,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0446,0xa0e5b9d9e44f742e6514de28a14e84ba6cc33e098046d1664f16d5ee0c165657,0x0e2845b732347e43514d7000585c657265029b50f40154e2c8cf07d18b107e93,19244347.0,32.9,3265.8912,
frxETH+CVX (0x47D5…),"5,570",CVX,5.07,28239.494400000003,367909.89629857824,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0768,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,"4,836",3.6,17411.327999999998,406059.1694555006,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0429,0xa0e5b9d9e44f742e6514de28a14e84ba6cc33e098046d1664f16d5ee0c165657,0x0e2845b732347e43514d7000585c657265029b50f40154e2c8cf07d18b107e93,19244347.0,62.2,28239.494400000003,
CRV+cvxCRV (0x971a…),"72,313",CVX,5.07,366626.7072,9858248.599505626,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0372,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,"73,472",3.6,264498.048,12455904.273447383,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0212,0xa0e5b9d9e44f742e6514de28a14e84ba6cc33e098046d1664f16d5ee0c165657,0x0e2845b732347e43514d7000585c657265029b50f40154e2c8cf07d18b107e93,19244347.0,38.6,366626.7072,
