gauge,amount,symbol,token_price_current,usd,votes_current,token_current,token_name_current,per,amount_last,token_price_last,usd_last,votes_last,token_last,token_name_last,per_vote_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,1.19,5799.876923076923,282237.67624862347,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0205,"4,874",1.19,5799.876923076923,249200.20756073823,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0233,0.0,5799.876923076923,
FRAX+crvUSD (0x0CD6…),"96,000",CRV,0.429213,41204.448,2027165.6794290796,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0203,"96,000",0.429213,41204.448,2028921.0571677347,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0203,0.0,41204.448,
alUSD+FRAXBP (0xB30d…),"5,760",ALCX,13.33,76780.8,3735993.43315236,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0206,"5,760",13.01,74937.6,4537958.919016525,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0165,2.5,76780.8,
alUSD+3Crv (0x43b4…),480,ALCX,13.33,6398.4,263391.9369043843,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0243,480,13.01,6244.8,259375.52331240737,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0241,2.5,6398.4,
MIM+3Crv (0x5a6A…),"105,600,000",SPELL,0.00047741,50414.496,2152016.388737662,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0234,"105,600,000",0.00043672,46117.632,2023391.9534620096,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0228,9.3,50414.496,
WETH+CVX (0xB576…),"19,007",CVX,2.82,53599.85279999999,2163417.195363556,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,"18,848",2.61,49192.4448,2181757.94005108,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0225,9.0,53599.85279999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,2.82,2847.9744,129658.46478386248,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0220,"1,417",2.61,3698.2656,190982.54666420628,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0194,-23.0,2847.9744,
frxETH+CVX (0x47D5…),"5,207",CVX,2.82,14683.8528,729480.1955532534,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0201,"4,959",2.61,12943.929599999998,760784.2578938095,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0170,13.4,14683.8528,
CRV+cvxCRV (0x971a…),"83,238",CVX,2.82,234730.4832,10280773.648150546,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0228,"82,327",2.61,214872.7392,10341603.315219317,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0208,9.2,234730.4832,
cvxCRV+FRAXBP (0x31c3…),"1,713",CVX,2.82,4829.6448,211832.9271386342,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0228,"1,694",2.61,4422.384,217322.7638810891,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0203,9.2,4829.6448,
FXS+cvxFXS (0x6a90…),"23,276",CVX,2.82,65638.7712,2649357.6112392875,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,"23,898",2.61,62374.4064,2766840.637156734,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0225,5.2,65638.7712,
cvxFXS+FRAXBP (0x21d1…),"1,225",CVX,2.82,3454.3872,167514.07645588557,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0206,"1,258",2.61,3282.336,188901.8617261988,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0174,5.2,3454.3872,
FPIS+cvxFPIS (0xfBB4…),"1,380",CVX,2.82,3890.2464,155892.82007573813,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0250,"1,659",2.61,4329.6768,198664.4032858681,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0218,-10.1,3890.2464,
FXN+cvxFXN (0x1062…),"1,028",CVX,2.82,2899.4112,123466.85712419792,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0235,"1,028",2.61,2683.4976,117974.79196361,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0227,8.0,2899.4112,
crvUSD+frxETH+SDT (0x9543…),240,sdFXS,5.7352019548013855,1376.4484691523326,53840.73919258373,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,Stake DAO FXS,0.0256,nan,,,,,,nan,nan,1376.4484691523326,
msUSD+FRAXBP (0xc3b1…),"21,120",MET,0.852123,17996.83776,739057.817347429,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0244,"21,120",0.765079,16158.46848,786884.6710653765,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0205,11.4,17996.83776,
